ads_type,agency,agency_name,area,bedrooms,city,description,is_available,land_surface,origin,others,photos,postal_code,price,property_type,public_url,rooms,site_id,title,url,website
,True,Goodshowcase,31,,Oullins,Ouvert le 26 05 2022 de 09h00 a 17H30 - mis a jour le 26/05/22,True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=84&id_region%5B%5D=27&id_region%5B%5D=53&id_region%5B%5D=94&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 208020)}","{'assets': ['Surface 31 m²', 'Pièces 2']}","https://www.goodshowcase.com/ph/tn/69/69600/AHYJJH9.jpg,https://www.goodshowcase.com/ph/tn/69/69600/AHYJJH7.jpg,https://www.goodshowcase.com/ph/tn/69/69600/AHYJJH8.jpg",69600,680,,https://www.goodshowcase.com/annonce-t2-26611668.html,2,26611668,T2,https://www.goodshowcase.com/annonce-t2-26611668.html,www.goodshowcase.com
,True,Goodshowcase,267,,Liffré,"Situation idéale pour votre activité artisanale ou pour entrepôt, bénéficiez de cet espace de plus de 180m2 . Vous pourrez également installer vos quartiers dans les 3 bureaux mis à votre disposition.
Libre
Loyer: 1200,00 euros + charges: 40,00 euros. Loyer assujetti à la TVA. Loyer mensuel TTC: 1488,00 euros
Honoraires charge locataire: 2419,20 euros
Cabinet ROLLAND & GIROT - LIFFRE: 02.99.68.55.55",True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=84&id_region%5B%5D=27&id_region%5B%5D=53&id_region%5B%5D=94&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 208020)}","{'assets': ['Surface 267 m²', 'Pièces 4', 'Honoraires 2419.2 %', 'Disponible 30/06/2022', 'Charges 40 € / mois', 'Orientation Sud', 'Orientation Ouest']}","https://www.goodshowcase.com/ph/tn/35/35340/AHINLE0.jpg,https://www.goodshowcase.com/ph/tn/35/35340/AHINLE1.jpg,https://www.goodshowcase.com/ph/tn/35/35340/AHINLD9.jpg,https://www.goodshowcase.com/ph/tn/35/35340/AHINLE2.jpg",35340,1240,,https://www.goodshowcase.com/annonce-entrepot-plus-bureaux-liffre-26207765.html,4,26207765,ENTREPÔT + BUREAUX LIFFRE,https://www.goodshowcase.com/annonce-entrepot-plus-bureaux-liffre-26207765.html,www.goodshowcase.com
,True,Goodshowcase,23,,Écully,"ECULLY 500  Euro Appartement Studio En excellent etat de 23 m2. Comprenant un sejour, une cuisine Amenagee et equipee, une salle d'eau, WC.  Proche transports et commerces.  Nous contacter dl 04.81.91.24.64  fd 210 Euro Ouvert le 26 05 2022 de 09h00 a 17H30 - mis a jour le 26/05/22 - loyer hors charges",True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=84&id_region%5B%5D=27&id_region%5B%5D=53&id_region%5B%5D=94&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 208020)}","{'assets': ['Surface 23 m²', 'Pièces 1', ""S. d'eau 1""]}","https://www.goodshowcase.com/ph/tn/69/69130/AHYJJH4.jpg,https://www.goodshowcase.com/ph/tn/69/69130/AHYJJH5.jpg,https://www.goodshowcase.com/ph/tn/69/69130/AHYJJH6.jpg",69130,500,,https://www.goodshowcase.com/annonce-studio-26611667.html,1,26611667,Studio,https://www.goodshowcase.com/annonce-studio-26611667.html,www.goodshowcase.com
,True,Goodshowcase,67,3,Bron,"BRON 935  Euro charges comprises Appartement T4 Refait a neuf de 67 m2. Avec un Balcon, un parking, une Cave. un interphone. Comprenant un salon, une cuisine Americaine, 3 chambres, une salle de bain, WC.  Proche transports et commerces.  Nous contacter dl 04.81.91.24.64  fd 210 Euro Ouvert le 26 05 2022 de 09h00 a 17H30 - mis a jour le 26/05/22",True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=84&id_region%5B%5D=27&id_region%5B%5D=53&id_region%5B%5D=94&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 208020)}","{'assets': ['Surface 67 m²', 'Pièces 4', 'Chambres 3', 'S. de bain 1']}","https://www.goodshowcase.com/ph/tn/69/69500/AHYJJG9.jpg,https://www.goodshowcase.com/ph/tn/69/69500/AHYJJG8.jpg,https://www.goodshowcase.com/ph/tn/69/69500/AHYJJG7.jpg",69500,935,,https://www.goodshowcase.com/annonce-t4-26611664.html,4,26611664,T4,https://www.goodshowcase.com/annonce-t4-26611664.html,www.goodshowcase.com
,True,Goodshowcase,43,1,Villeurbanne,"VILLEURBANNE 600 Euro charges comprises Appartement T2 Bon etat de 43m2 avec un interphone.  Comprenant une entree, un sejour, une cuisine independante equipee, 1 chambre, salle d'eau, WC.  Proche transports et commerces.  A SAISIR Nous contacter dl 04.81.91.24.64  fd 210 Euro Ouvert le 26 05 2022 de 09h00 a 17H30 - mis a jour le 26/05/22",True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=84&id_region%5B%5D=27&id_region%5B%5D=53&id_region%5B%5D=94&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 208020)}","{'assets': ['Surface 43 m²', 'Pièces 2', 'Chambres 1']}","https://www.goodshowcase.com/ph/tn/69/69100/AHYJJG5.jpg,https://www.goodshowcase.com/ph/tn/69/69100/AHYJJG6.jpg,https://www.goodshowcase.com/ph/tn/69/69100/AHYJJG4.jpg",69100,600,,https://www.goodshowcase.com/annonce-t2-26611663.html,2,26611663,T2,https://www.goodshowcase.com/annonce-t2-26611663.html,www.goodshowcase.com
,True,Goodshowcase,12,,Bron,"BRON 575  Euro charges comprises Chambre pour de la colocation dans un appartement T4 en Bon etat.Cuisine, sejour, salle de bain et WC a partager. Proche transports et commerces. A SAISIR Nous contacter dl 04.81.91.24.64 fd 210 Euro Ouvert le 26 05 2022 de 09h00 a 17H30 - mis a jour le 26/05/22",True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=84&id_region%5B%5D=27&id_region%5B%5D=53&id_region%5B%5D=94&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 208020)}","{'assets': ['Surface 12 m²', 'Pièces 1']}","https://www.goodshowcase.com/ph/tn/69/69500/AHYJJG3.jpg,https://www.goodshowcase.com/ph/tn/69/69500/AHYJJG2.jpg,https://www.goodshowcase.com/ph/tn/69/69500/AHYJJG1.jpg",69500,575,,https://www.goodshowcase.com/annonce-chambre-26611662.html,1,26611662,Chambre,https://www.goodshowcase.com/annonce-chambre-26611662.html,www.goodshowcase.com
,True,Goodshowcase,70,2,Villeurbanne,"VILLEURBANNE 790  Euro Appartement T3 en Bon etat de 70 m2. Comprenant une entree, un sejour, une cuisine Independante equipee, 2 chambres, une salle de bain, WC.  Proche transports et commerces.  Nous contacter dl 04.81.91.24.64  fd 210 Euro Ouvert le 26 05 2022 de 09h00 a 17H30 - mis a jour le 26/05/22 - loyer hors charges - DPE en cours",True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=84&id_region%5B%5D=27&id_region%5B%5D=53&id_region%5B%5D=94&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 208020)}","{'assets': ['Surface 70 m²', 'Pièces 3', 'Chambres 2', 'S. de bain 1']}",https://www.goodshowcase.com/ph/tn/69/69100/AHYJJG0.jpg,69100,940,,https://www.goodshowcase.com/annonce-t3-26611661.html,3,26611661,T3,https://www.goodshowcase.com/annonce-t3-26611661.html,www.goodshowcase.com
,True,Goodshowcase,19,,Villeurbanne,"VILLEURBANNE 465 Euro charges comprises Studio Bon etat de 19m2 avec un local a velos dans une residence muni d'un ascenseur et d'un interphone.  Comprenant entree, sejour, cuisine Amenagee equipee, salle d'eau, WC.  Proche transports et commerces.  Nous contacter dl 04.81.91.24.64  fd 210 Euro Ouvert le 26 05 2022 de 09h00 a 17H30 - mis a jour le 26/05/22",True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=84&id_region%5B%5D=27&id_region%5B%5D=53&id_region%5B%5D=94&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 208020)}","{'assets': ['Surface 19 m²', 'Pièces 1']}","https://www.goodshowcase.com/ph/tn/69/69100/AHYJJJ2.jpg,https://www.goodshowcase.com/ph/tn/69/69100/AHYJJJ3.jpg,https://www.goodshowcase.com/ph/tn/69/69100/AHYJJJ1.jpg",69100,465,,https://www.goodshowcase.com/annonce-studio-26611672.html,1,26611672,Studio,https://www.goodshowcase.com/annonce-studio-26611672.html,www.goodshowcase.com
,True,Goodshowcase,50,1,Toulouse,"TOULOUSE Saint cyprien, dans résidence calme avec piscine et gardien, appartement T2 de 49m² comprenant entrée, séjour, cuisine meublée indépendante, une chambre, salle de bain, wc. Balcon. Une placede parking dans la résidence.Logement calme et agréable avec une belle luminosité.Contact agence 05 62 27 59 59",True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=75&id_region%5B%5D=76&id_region%5B%5D=52&id_region%5B%5D=93&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 213641)}","{'assets': ['DPE 189.62', 'GES 8.49', 'Surface 50 m²', 'Séjour 20 m²', 'Pièces 2', 'Chambres 1', 'Etage 1', 'Construction 1990', 'Cuisine Séparée', 'Ascenseur Oui']}",https://www.goodshowcase.com/ph/tn/31/31300/AHXSHI3.jpg,31300,585,,https://www.goodshowcase.com/annonce-deux-pieces-26595426.html,2,26595426,Deux pièces,https://www.goodshowcase.com/annonce-deux-pieces-26595426.html,www.goodshowcase.com
,True,Goodshowcase,51,2,Toulouse,"Toulouse, sur les hauteurs de Rangueil, proche des universités et de l'hopital. Idéal pour les étudiants.Dans résidence récente avec piscine et gardien, logement calme et agréable.Appartement T3 comprenant une entrée, un séjour avec une cuisine ouverte équipée, deux chambres avec placard de rangement, une salle de bains avec baignoire et un wc.Il dispose d'un balcon et de deux places de parking privative dans la résidence.Pour plus d'informations, contactez nous au  05 62 27 59 59",True,,"{'spider': 'goodshowcase', 'added_from': 'SCRAPY', 'ref': 'https://www.goodshowcase.com/index.php?mod=search&url_transaction%5B%5D=louer&url_bien%5B%5D=appartement&url_bien%5B%5D=maison&url_bien%5B%5D=terrain&url_bien%5B%5D=local&url_bien%5B%5D=stationnement&id_agence=&id_region%5B%5D=75&id_region%5B%5D=76&id_region%5B%5D=52&id_region%5B%5D=93&id_dept%5B%5D=&cp=&distance=0&distroute=0&tmpsroute=0&surfmin=&surfmax=&sejmin=&sejmax=&cuisine=&chauffage=&sdbmin=&sdbmax=&sdemin=&sdemax=&wcmin=&wcmax=&etagemin=&etagemax=&ascenseur=&balcon=&bbc=&box=&calme=&cave=&cheminee=&climatisation=&dernier_etage=&digicode=&gardien=&interphone=&parking=&parquet=&piscine=&meuble=&refait_a_neuf=&terrasse=&vue_degagee=&terrmin=&terrmax=&prixmin=&prixmax=&piecemin=&piecemax=&chambremin=&chambremax=&constructmin=&constructmax=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&motcle%5B%5D=&visavis=&affph=&affmr=&affme=&dataj=1&carte=&ordre=ajout&page=1', 'departement': None, 'offer_type': None, 'page_index': 1, 'date': datetime.datetime(2022, 5, 26, 19, 25, 53, 213641)}","{'assets': ['DPE 297', 'GES 14', 'Surface 51 m²', 'Séjour 17 m²', 'Pièces 3', 'Chambres 2', 'S. de bain 1', 'Etage 1', 'Construction 1998']}","https://www.goodshowcase.com/ph/tn/31/31400/AHVKYO1.jpg,https://www.goodshowcase.com/ph/tn/31/31400/AHVKYO2.jpg,https://www.goodshowcase.com/ph/tn/31/31400/AHVKYO3.jpg,https://www.goodshowcase.com/ph/tn/31/31400/AHVKYO0.jpg",31400,605,,https://www.goodshowcase.com/annonce-trois-pieces-26537895.html,3,26537895,Trois pièces,https://www.goodshowcase.com/annonce-trois-pieces-26537895.html,www.goodshowcase.com
